"Element";"Quota";"Centrality";"Value"
"Baron";"30";"SRIC_EX";"0.153429985855728"
"Baron";"30";"Max";"0.0700438794933645"
"Kvashnja";"30";"SRIC_EX";"0.0193069306930693"
"Kvashnja";"30";"Max";"0.0526125566564843"
"Bubnov";"30";"SRIC_EX";"0.153429985855728"
"Bubnov";"30";"Max";"0.0700438794933645"
"Klesch";"30";"SRIC_EX";"0.153429985855728"
"Klesch";"30";"Max";"0.0700438794933645"
"Nastja";"30";"SRIC_EX";"0.0193069306930693"
"Nastja";"30";"Max";"0.0526125566564843"
"Anna";"30";"SRIC_EX";"0"
"Anna";"30";"Max";"0.036498421783933"
"Satin";"30";"SRIC_EX";"0.153429985855728"
"Satin";"30";"Max";"0.0700438794933645"
"Akter";"30";"SRIC_EX";"0.153429985855728"
"Akter";"30";"Max";"0.0700438794933645"
"Kostylev";"30";"SRIC_EX";"0"
"Kostylev";"30";"Max";"0.0565641205494709"
"Pepel";"30";"SRIC_EX";"0"
"Pepel";"30";"Max";"0.0565641205494709"
"Luka";"30";"SRIC_EX";"0"
"Luka";"30";"Max";"0.0565641205494709"
"Natasha";"30";"SRIC_EX";"0"
"Natasha";"30";"Max";"0.0565641205494709"
"Aleshka";"30";"SRIC_EX";"0.0193069306930693"
"Aleshka";"30";"Max";"0.0526125566564843"
"Vasilisa";"30";"SRIC_EX";"0"
"Vasilisa";"30";"Max";"0.0565641205494708"
"Medvedev";"30";"SRIC_EX";"0.153429985855728"
"Medvedev";"30";"Max";"0.0700438794933645"
"Tatarin";"30";"SRIC_EX";"0.0107496463932107"
"Tatarin";"30";"Max";"0.0512900142695363"
"KrivojZob";"30";"SRIC_EX";"0.0107496463932107"
"KrivojZob";"30";"Max";"0.0512900142695363"
"Baron";"50";"SRIC_EX";"0"
"Baron";"50";"Max";"0"
"Kvashnja";"50";"SRIC_EX";"0"
"Kvashnja";"50";"Max";"0"
"Bubnov";"50";"SRIC_EX";"0"
"Bubnov";"50";"Max";"0"
"Klesch";"50";"SRIC_EX";"0"
"Klesch";"50";"Max";"0"
"Nastja";"50";"SRIC_EX";"0"
"Nastja";"50";"Max";"0"
"Anna";"50";"SRIC_EX";"0"
"Anna";"50";"Max";"0"
"Satin";"50";"SRIC_EX";"0"
"Satin";"50";"Max";"0"
"Akter";"50";"SRIC_EX";"0"
"Akter";"50";"Max";"0"
"Kostylev";"50";"SRIC_EX";"0"
"Kostylev";"50";"Max";"0"
"Pepel";"50";"SRIC_EX";"0"
"Pepel";"50";"Max";"0"
"Luka";"50";"SRIC_EX";"0"
"Luka";"50";"Max";"0"
"Natasha";"50";"SRIC_EX";"0"
"Natasha";"50";"Max";"0"
"Aleshka";"50";"SRIC_EX";"0"
"Aleshka";"50";"Max";"0"
"Vasilisa";"50";"SRIC_EX";"0"
"Vasilisa";"50";"Max";"0"
"Medvedev";"50";"SRIC_EX";"0"
"Medvedev";"50";"Max";"0"
"Tatarin";"50";"SRIC_EX";"0"
"Tatarin";"50";"Max";"0"
"KrivojZob";"50";"SRIC_EX";"0"
"KrivojZob";"50";"Max";"0"
"Baron";"70";"SRIC_EX";"0"
"Baron";"70";"Max";"0"
"Kvashnja";"70";"SRIC_EX";"0"
"Kvashnja";"70";"Max";"0"
"Bubnov";"70";"SRIC_EX";"0"
"Bubnov";"70";"Max";"0"
"Klesch";"70";"SRIC_EX";"0"
"Klesch";"70";"Max";"0"
"Nastja";"70";"SRIC_EX";"0"
"Nastja";"70";"Max";"0"
"Anna";"70";"SRIC_EX";"0"
"Anna";"70";"Max";"0"
"Satin";"70";"SRIC_EX";"0"
"Satin";"70";"Max";"0"
"Akter";"70";"SRIC_EX";"0"
"Akter";"70";"Max";"0"
"Kostylev";"70";"SRIC_EX";"0"
"Kostylev";"70";"Max";"0"
"Pepel";"70";"SRIC_EX";"0"
"Pepel";"70";"Max";"0"
"Luka";"70";"SRIC_EX";"0"
"Luka";"70";"Max";"0"
"Natasha";"70";"SRIC_EX";"0"
"Natasha";"70";"Max";"0"
"Aleshka";"70";"SRIC_EX";"0"
"Aleshka";"70";"Max";"0"
"Vasilisa";"70";"SRIC_EX";"0"
"Vasilisa";"70";"Max";"0"
"Medvedev";"70";"SRIC_EX";"0"
"Medvedev";"70";"Max";"0"
"Tatarin";"70";"SRIC_EX";"0"
"Tatarin";"70";"Max";"0"
"KrivojZob";"70";"SRIC_EX";"0"
"KrivojZob";"70";"Max";"0"
