"Element";"Quota";"Centrality";"Value"
"yakov";"30";"SRIC_EX";"0.179290539219959"
"yakov";"30";"Max";"0.0786157751371352"
"vasilisa_petrovna";"30";"SRIC_EX";"0.223162735497793"
"vasilisa_petrovna";"30";"Max";"0.082547177855895"
"kulabukhov";"30";"SRIC_EX";"0.00897347947252868"
"kulabukhov";"30";"Max";"0.018651139342747"
"margarita";"30";"SRIC_EX";"0.0738001086638659"
"margarita";"30";"Max";"0.0603258500473092"
"feofan";"30";"SRIC_EX";"0.0654901855172526"
"feofan";"30";"Max";"0.0398706859796342"
"zaychikov";"30";"SRIC_EX";"0.120274740379675"
"zaychikov";"30";"Max";"0.0682633541830248"
"baron";"30";"SRIC_EX";"0.0103331960602805"
"baron";"30";"Max";"0.0424390932737745"
"student";"30";"SRIC_EX";"0.0103331960602805"
"student";"30";"Max";"0.0424390932737745"
"pomeschik";"30";"SRIC_EX";"0.0103331960602805"
"pomeschik";"30";"Max";"0.0424390932737745"
"kommertsii_sovetnik";"30";"SRIC_EX";"0.0103331960602805"
"kommertsii_sovetnik";"30";"Max";"0.0424390932737745"
"general";"30";"SRIC_EX";"0.0103331960602805"
"general";"30";"Max";"0.0424390932737745"
"darya_stepanovna";"30";"SRIC_EX";"0.0103331960602805"
"darya_stepanovna";"30";"Max";"0.0424390932737745"
"molodoy_chelovek";"30";"SRIC_EX";"0.0103331960602805"
"molodoy_chelovek";"30";"Max";"0.0424390932737745"
"lakey";"30";"SRIC_EX";"0.0103331960602805"
"lakey";"30";"Max";"0.0424390932737745"
"pervaya_dama";"30";"SRIC_EX";"0.0103331960602805"
"pervaya_dama";"30";"Max";"0.0424390932737745"
"vtoraya_dama";"30";"SRIC_EX";"0.0103331960602805"
"vtoraya_dama";"30";"Max";"0.0424390932737745"
"shafer";"30";"SRIC_EX";"0.0103331960602805"
"shafer";"30";"Max";"0.0424390932737745"
"knyaz";"30";"SRIC_EX";"0.120274740379675"
"knyaz";"30";"Max";"0.0682633541830248"
"nyusha";"30";"SRIC_EX";"0.00606710898960697"
"nyusha";"30";"Max";"0.0168102769036401"
"ekonomka";"30";"SRIC_EX";"0.016196589618849"
"ekonomka";"30";"Max";"0.022701923542642"
"gornichnaya";"30";"SRIC_EX";"0.0493016138753311"
"gornichnaya";"30";"Max";"0.0357059777377414"
"lelya";"30";"SRIC_EX";"0.016196589618849"
"lelya";"30";"Max";"0.022701923542642"
"gost";"30";"SRIC_EX";"0.00730641210352832"
"gost";"30";"Max";"0.0187125355330451"
"yakov";"50";"SRIC_EX";"0.214509942299212"
"yakov";"50";"Max";"0.112878190698317"
"vasilisa_petrovna";"50";"SRIC_EX";"0.202241684410258"
"vasilisa_petrovna";"50";"Max";"0.117997935848781"
"kulabukhov";"50";"SRIC_EX";"0.00789265982636148"
"kulabukhov";"50";"Max";"0.0259644218344941"
"margarita";"50";"SRIC_EX";"0.101289134438306"
"margarita";"50";"Max";"0.0903269322974653"
"feofan";"50";"SRIC_EX";"0.0476190476190476"
"feofan";"50";"Max";"0.0727735203530186"
"zaychikov";"50";"SRIC_EX";"0.129103036685975"
"zaychikov";"50";"Max";"0.102919067393725"
"baron";"50";"SRIC_EX";"0"
"baron";"50";"Max";"0.0172771082379137"
"student";"50";"SRIC_EX";"0"
"student";"50";"Max";"0.0172771082379137"
"pomeschik";"50";"SRIC_EX";"0"
"pomeschik";"50";"Max";"0.0172771082379137"
"kommertsii_sovetnik";"50";"SRIC_EX";"0"
"kommertsii_sovetnik";"50";"Max";"0.0172771082379137"
"general";"50";"SRIC_EX";"0"
"general";"50";"Max";"0.0172771082379137"
"darya_stepanovna";"50";"SRIC_EX";"0"
"darya_stepanovna";"50";"Max";"0.0172771082379137"
"molodoy_chelovek";"50";"SRIC_EX";"0"
"molodoy_chelovek";"50";"Max";"0.0172771082379137"
"lakey";"50";"SRIC_EX";"0"
"lakey";"50";"Max";"0.0172771082379137"
"pervaya_dama";"50";"SRIC_EX";"0"
"pervaya_dama";"50";"Max";"0.0172771082379137"
"vtoraya_dama";"50";"SRIC_EX";"0"
"vtoraya_dama";"50";"Max";"0.0172771082379137"
"shafer";"50";"SRIC_EX";"0"
"shafer";"50";"Max";"0.0172771082379137"
"knyaz";"50";"SRIC_EX";"0.129103036685975"
"knyaz";"50";"Max";"0.102919067393725"
"nyusha";"50";"SRIC_EX";"0.00631412786108919"
"nyusha";"50";"Max";"0.0264520166107287"
"ekonomka";"50";"SRIC_EX";"0.0396073121191605"
"ekonomka";"50";"Max";"0.0378779875338269"
"gornichnaya";"50";"SRIC_EX";"0.0714285714285714"
"gornichnaya";"50";"Max";"0.0618026378877394"
"lelya";"50";"SRIC_EX";"0.0396073121191605"
"lelya";"50";"Max";"0.0378779875338269"
"gost";"50";"SRIC_EX";"0.0112841345068833"
"gost";"50";"Max";"0.020162043997302"
"yakov";"70";"SRIC_EX";"0.193745167110576"
"yakov";"70";"Max";"0.184097544221192"
"vasilisa_petrovna";"70";"SRIC_EX";"0.237812526849386"
"vasilisa_petrovna";"70";"Max";"0.194401511248497"
"kulabukhov";"70";"SRIC_EX";"0.015929203539823"
"kulabukhov";"70";"Max";"0.0257599175682638"
"margarita";"70";"SRIC_EX";"0.152507374631268"
"margarita";"70";"Max";"0.088442383651039"
"feofan";"70";"SRIC_EX";"0.0666666666666667"
"feofan";"70";"Max";"0.0420745320281642"
"zaychikov";"70";"SRIC_EX";"0.123948220064725"
"zaychikov";"70";"Max";"0.11883908638159"
"baron";"70";"SRIC_EX";"0"
"baron";"70";"Max";"0"
"student";"70";"SRIC_EX";"0"
"student";"70";"Max";"0"
